Artist	Year	Scrobbles
John Maus	2010	1
John Maus	2011	199
John Maus	2012	526
John Maus	2013	171
John Maus	2014	74
Sally Shapiro	2006	181
Sally Shapiro	2007	125
Sally Shapiro	2008	72
Sally Shapiro	2009	94
Sally Shapiro	2010	49
Sally Shapiro	2011	25
Sally Shapiro	2012	10
Sally Shapiro	2013	100
Sally Shapiro	2014	53
Depeche Mode	2005	82
Depeche Mode	2006	119
Depeche Mode	2007	117
Depeche Mode	2008	89
Depeche Mode	2009	73
Depeche Mode	2010	26
Depeche Mode	2011	25
Depeche Mode	2012	113
Depeche Mode	2013	42
Depeche Mode	2014	19
Legowelt	2005	63
Legowelt	2006	126
Legowelt	2007	213
Legowelt	2008	72
Legowelt	2009	49
Legowelt	2010	44
Legowelt	2011	26
Legowelt	2012	31
Legowelt	2013	59
Legowelt	2014	18
Fliehende Stürme	2008	353
Fliehende Stürme	2009	121
Fliehende Stürme	2010	34
Fliehende Stürme	2011	19
Fliehende Stürme	2012	81
Fliehende Stürme	2013	22
Fliehende Stürme	2014	6
Xeno & Oaklander	2008	3
Xeno & Oaklander	2009	19
Xeno & Oaklander	2010	197
Xeno & Oaklander	2011	137
Xeno & Oaklander	2012	88
Xeno & Oaklander	2013	54
Xeno & Oaklander	2014	100
Pet Shop Boys	2005	81
Pet Shop Boys	2006	97
Pet Shop Boys	2007	67
Pet Shop Boys	2008	47
Pet Shop Boys	2009	66
Pet Shop Boys	2010	57
Pet Shop Boys	2011	23
Pet Shop Boys	2012	29
Pet Shop Boys	2013	64
Pet Shop Boys	2014	40
Martial Canterel	2008	41
Martial Canterel	2009	1
Martial Canterel	2010	2
Martial Canterel	2011	339
Martial Canterel	2012	91
Martial Canterel	2013	62
Martial Canterel	2014	22
Kraftwerk	2005	76
Kraftwerk	2006	130
Kraftwerk	2007	99
Kraftwerk	2008	69
Kraftwerk	2009	51
Kraftwerk	2010	30
Kraftwerk	2011	31
Kraftwerk	2012	11
Kraftwerk	2013	20
Kraftwerk	2014	23
Vince Watson	2007	79
Vince Watson	2008	31
Vince Watson	2009	19
Vince Watson	2010	15
Vince Watson	2011	88
Vince Watson	2012	100
Vince Watson	2013	100
Vince Watson	2014	101
Aphex Twin	2005	88
Aphex Twin	2006	105
Aphex Twin	2007	58
Aphex Twin	2008	64
Aphex Twin	2009	63
Aphex Twin	2010	51
Aphex Twin	2011	30
Aphex Twin	2012	20
Aphex Twin	2013	15
Aphex Twin	2014	31
Squarepusher	2005	13
Squarepusher	2006	12
Squarepusher	2007	177
Squarepusher	2008	71
Squarepusher	2009	19
Squarepusher	2010	9
Squarepusher	2011	26
Squarepusher	2012	126
Squarepusher	2013	40
Squarepusher	2014	24
Machinedrum	2012	302
Machinedrum	2013	135
Machinedrum	2014	57
Tangerine Dream	2005	15
Tangerine Dream	2006	34
Tangerine Dream	2007	32
Tangerine Dream	2008	24
Tangerine Dream	2009	5
Tangerine Dream	2010	27
Tangerine Dream	2011	49
Tangerine Dream	2012	153
Tangerine Dream	2013	98
Tangerine Dream	2014	44
Joris Voorn	2005	128
Joris Voorn	2006	109
Joris Voorn	2007	93
Joris Voorn	2008	58
Joris Voorn	2009	18
Joris Voorn	2010	35
Joris Voorn	2011	6
Joris Voorn	2012	3
Joris Voorn	2013	7
Joris Voorn	2014	1
Burial	2007	172
Burial	2008	38
Burial	2009	9
Burial	2010	27
Burial	2011	39
Burial	2012	80
Burial	2013	24
Burial	2014	25
Saint Etienne	2005	61
Saint Etienne	2006	60
Saint Etienne	2007	28
Saint Etienne	2008	38
Saint Etienne	2009	43
Saint Etienne	2010	19
Saint Etienne	2011	8
Saint Etienne	2012	12
Saint Etienne	2013	118
Saint Etienne	2014	24
The Radio Dept.	2005	196
The Radio Dept.	2006	71
The Radio Dept.	2007	22
The Radio Dept.	2008	20
The Radio Dept.	2009	5
The Radio Dept.	2010	41
The Radio Dept.	2011	6
The Radio Dept.	2012	20
The Radio Dept.	2013	5
The Radio Dept.	2014	6
VNV Nation	2005	113
VNV Nation	2006	117
VNV Nation	2007	85
VNV Nation	2008	27
VNV Nation	2009	12
VNV Nation	2010	16
VNV Nation	2011	5
VNV Nation	2012	11
VNV Nation	2013	2
VNV Nation	2014	1
Autechre	2005	29
Autechre	2006	43
Autechre	2007	54
Autechre	2008	96
Autechre	2009	49
Autechre	2010	36
Autechre	2011	9
Autechre	2012	18
Autechre	2013	2
Autechre	2014	35
Anthony Rother	2005	52
Anthony Rother	2006	52
Anthony Rother	2007	46
Anthony Rother	2008	53
Anthony Rother	2009	25
Anthony Rother	2010	15
Anthony Rother	2011	33
Anthony Rother	2012	21
Anthony Rother	2013	21
Anthony Rother	2014	47
The Cure	2005	55
The Cure	2006	47
The Cure	2007	30
The Cure	2008	47
The Cure	2009	30
The Cure	2010	51
The Cure	2011	18
The Cure	2012	36
The Cure	2013	37
The Cure	2014	12
The Smiths	2005	46
The Smiths	2006	36
The Smiths	2007	42
The Smiths	2008	26
The Smiths	2009	39
The Smiths	2010	65
The Smiths	2011	23
The Smiths	2012	9
The Smiths	2013	8
The Smiths	2014	56
Oneohtrix Point Never	2010	173
Oneohtrix Point Never	2011	68
Oneohtrix Point Never	2012	33
Oneohtrix Point Never	2013	13
Oneohtrix Point Never	2014	59
Front 242	2005	61
Front 242	2006	51
Front 242	2007	103
Front 242	2008	57
Front 242	2009	27
Front 242	2010	17
Front 242	2011	18
Front 242	2012	4
Front 242	2013	4
Front 242	2014	3
My Bloody Valentine	2005	33
My Bloody Valentine	2006	36
My Bloody Valentine	2007	53
My Bloody Valentine	2008	50
My Bloody Valentine	2009	15
My Bloody Valentine	2010	40
My Bloody Valentine	2011	18
My Bloody Valentine	2012	35
My Bloody Valentine	2013	49
My Bloody Valentine	2014	10
Freescha	2006	212
Freescha	2007	40
Freescha	2008	27
Freescha	2009	16
Freescha	2010	6
Freescha	2011	4
Freescha	2012	13
Freescha	2013	2
Freescha	2014	2
Kuedo	2011	55
Kuedo	2012	170
Kuedo	2013	74
Kuedo	2014	14
Drexciya	2005	8
Drexciya	2006	12
Drexciya	2007	10
Drexciya	2008	22
Drexciya	2009	83
Drexciya	2010	11
Drexciya	2011	100
Drexciya	2012	37
Drexciya	2013	17
Drexciya	2014	7
Led Er Est	2010	151
Led Er Est	2011	42
Led Er Est	2012	74
Led Er Est	2013	33
Led Er Est	2014	6
Spetsnaz	2006	202
Spetsnaz	2007	49
Spetsnaz	2008	37
Spetsnaz	2009	11
Spetsnaz	2010	3
Spetsnaz	2011	2
Spetsnaz	2012	2
Ariel Pink's Haunted Graffiti	2005	79
Ariel Pink's Haunted Graffiti	2006	66
Ariel Pink's Haunted Graffiti	2007	4
Ariel Pink's Haunted Graffiti	2008	32
Ariel Pink's Haunted Graffiti	2009	25
Ariel Pink's Haunted Graffiti	2010	10
Ariel Pink's Haunted Graffiti	2011	14
Ariel Pink's Haunted Graffiti	2012	15
Ariel Pink's Haunted Graffiti	2013	25
Ariel Pink's Haunted Graffiti	2014	32
Datassette	2009	8
Datassette	2010	4
Datassette	2011	120
Datassette	2012	90
Datassette	2013	56
Datassette	2014	22
Trust	2012	72
Trust	2013	159
Trust	2014	68
Rude 66	2006	62
Rude 66	2007	35
Rude 66	2008	55
Rude 66	2009	84
Rude 66	2010	33
Rude 66	2011	12
Rude 66	2012	5
Rude 66	2013	6
Rude 66	2014	2
Technasia	2005	14
Technasia	2006	164
Technasia	2007	30
Technasia	2008	40
Technasia	2009	25
Technasia	2010	9
Technasia	2011	4
Technasia	2012	3
Technasia	2014	4
Ural 13 Diktators	2005	111
Ural 13 Diktators	2006	100
Ural 13 Diktators	2007	26
Ural 13 Diktators	2008	13
Ural 13 Diktators	2009	14
Ural 13 Diktators	2010	1
Ural 13 Diktators	2011	3
Ural 13 Diktators	2012	25
Nathan Fake	2005	157
Nathan Fake	2006	54
Nathan Fake	2007	11
Nathan Fake	2008	27
Nathan Fake	2009	5
Nathan Fake	2010	12
Nathan Fake	2011	12
Nathan Fake	2012	6
Nathan Fake	2013	2
Nathan Fake	2014	3
DJ Assault	2005	76
DJ Assault	2006	15
DJ Assault	2007	73
DJ Assault	2008	6
DJ Assault	2009	42
DJ Assault	2010	12
DJ Assault	2011	6
DJ Assault	2012	40
DJ Assault	2013	11
DJ Assault	2014	1
AFX	2005	109
AFX	2006	65
AFX	2007	25
AFX	2008	35
AFX	2009	7
AFX	2010	7
AFX	2011	6
AFX	2012	17
AFX	2013	9
AFX	2014	1
E.R.P.	2008	90
E.R.P.	2009	39
E.R.P.	2010	28
E.R.P.	2011	41
E.R.P.	2012	34
E.R.P.	2013	32
E.R.P.	2014	15
New Order	2005	82
New Order	2006	59
New Order	2007	25
New Order	2008	22
New Order	2009	29
New Order	2010	12
New Order	2011	15
New Order	2012	18
