artist	scrobbles
John Maus	971
Sally Shapiro	709
Depeche Mode	705
Legowelt	701
Fliehende Stürme	636
Xeno & Oaklander	598
Pet Shop Boys	571
Martial Canterel	558
Kraftwerk	540
Vince Watson	533
Aphex Twin	525
Squarepusher	517
Machinedrum	494
Tangerine Dream	481
Joris Voorn	458
Burial	414
Saint Etienne	411
The Radio Dept.	392
VNV Nation	389
Autechre	371
Anthony Rother	365
The Cure	363
The Smiths	350
Oneohtrix Point Never	346
Front 242	345
My Bloody Valentine	339
Freescha	322
Kuedo	313
Drexciya	307
Led Er Est	306
Spetsnaz	306
Ariel Pink's Haunted Graffiti	302
Datassette	300
Trust	299
Rude 66	294
Technasia	293
Ural 13 Diktators	293
Nathan Fake	289
DJ Assault	282
AFX	281
E.R.P.	279
New Order	272
Nitzer Ebb	269
Boards of Canada	267
Covenant	264
Junior Boys	264
Kerri Chandler	261
Pendulum	253
Washed Out	244
M.I.K.E.	241
